Accessory_Battery,MsgNotFound
Accessory_Battery_Demo,MsgNotFound
Accessory_SupportDevice,MsgNotFound
Accessory_SupportDevice_Acting,MsgNotFound
AncientBall,MsgNotFound
Animal_Bear_A,Honeyvore Bear
Animal_Bear_B,Grizzlemaw Bear
Animal_Boar_A,Woodland Boar
Animal_Boar_B,Red-Tusked Boar
Animal_Bull_A,Water Buffalo
Animal_Cassowary_A,Eldin Ostrich
Animal_Cow_A,Hateno Cow
Animal_Crow_A,Mountain Crow
Animal_Crow_Swarm,Mountain Crow
Animal_Deer_A,Mountain Buck
Animal_Doe_A,Mountain Doe
Animal_Dog_A,Hylian Retriever
Animal_Dog_B,Hylian Retriever
Animal_Dog_C,Hylian Retriever
Animal_Donkey_B,Donkey
Animal_Donkey_B_MOTD,Donkey
Animal_Donkey_C,Donkey
Animal_Elk_A,Tabantha Moose
Animal_Fish_A,Hyrule Bass
Animal_Fish_AA,Ancient Arowana
Animal_Fish_AC,Glowing Cave Fish
Animal_Fish_B,Hearty Bass
Animal_Fish_C,Chillfin Trout
Animal_Fish_D,Voltfin Trout
Animal_Fish_E,Mighty Carp
Animal_Fish_F,Mighty Porgy
Animal_Fish_G,Armored Porgy
Animal_Fish_H,Armored Carp
Animal_Fish_I,Hearty Salmon
Animal_Fish_J,Sizzlefin Trout
Animal_Fish_L,Staminoka Bass
Animal_Fish_M,Sneaky River Snail
Animal_Fish_X,Stealthfin Trout
Animal_Fish_Z,Sanke Carp
Animal_Fox_A,Grassland Fox
Animal_Fox_B,Snowcoat Fox
Animal_Goat_A,White Goat
Animal_Goat_B,White Goat
Animal_Gull_A,Seagull
Animal_Gull_Swarm,Seagull
Animal_Hawk_A,Islander Hawk
Animal_Heron_A,Blue-Winged Heron
Animal_Heron_B,Pink Heron
Animal_Horse_A,Horse
Animal_Horse_A_00L,Giant Horse
Animal_Horse_A_01L,Giant White Stallion
Animal_Horse_A_Epona,Horse
Animal_Horse_A_Gold,Golden Horse
Animal_Horse_A_SpPattern,Horse
Animal_Horse_A_Zelda,White Horse
Animal_Horse_B,Horse
Animal_Insect_A,Hot-Footed Frog
Animal_Insect_AA,Energetic Rhino Beetle
Animal_Insect_AB,Smotherwing Butterfly
Animal_Insect_AG,Sticky Frog
Animal_Insect_AH,Sticky Lizard
Animal_Insect_AI,Deep Firefly
Animal_Insect_B,Tireless Frog
Animal_Insect_C,Cold Darner
Animal_Insect_E,Sunset Firefly
Animal_Insect_F,Fairy
Animal_Insect_G,Bladed Rhino Beetle
Animal_Insect_H,Restless Cricket
Animal_Insect_I,Electric Darner
Animal_Insect_K,Razorclaw Crab
Animal_Insect_M,Hearty Lizard
Animal_Insect_N,Winterwing Butterfly
Animal_Insect_NA,Winterwing Butterfly
Animal_Insect_O,Ironshell Crab
Animal_Insect_P,Rugged Rhino Beetle
Animal_Insect_Q,Summerwing Butterfly
Animal_Insect_R,Thunderwing Butterfly
Animal_Insect_S,Hightail Lizard
Animal_Insect_T,Warm Darner
Animal_Insect_X,Fireproof Lizard
Animal_Insect_Z,Bright-Eyed Crab
Animal_Kokko_A,Cucco
Animal_Kokko_B,Cucco
Animal_Kokko_B2,Cucco
Animal_Kokko_C,Cucco
Animal_Kokko_C2,Cucco
Animal_Kokko_D,Cucco
Animal_Kokko_E,Cucco
Animal_Kokko_E2,Cucco
Animal_Kokko_E3,Cucco
Animal_Kokko_E4,Cucco
